iteracao,valor_objetivo,media_coeficientes,total_cruzamentos
1,1.505097,0.005034,299
2,0.251079,0.000840,299
3,1.002754,0.003354,299
4,0.501079,0.001676,299
5,0.000000,0.000000,299
6,0.500000,0.001672,299
7,0.505177,0.001690,299
8,0.251079,0.000840,299
9,0.500000,0.001672,299
10,0.754326,0.002523,299
11,0.750069,0.002509,299
12,0.250000,0.000836,299
13,0.500590,0.001674,299
14,0.000000,0.000000,299
15,1.007862,0.003371,299
16,0.500000,0.001672,299
17,0.250069,0.000836,299
18,0.250069,0.000836,299
19,0.500349,0.001673,299
20,0.503162,0.001683,299
21,0.000000,0.000000,299
22,0.753435,0.002520,299
23,1.001079,0.003348,299
24,1.250069,0.004181,299
25,0.250145,0.000837,299
26,0.750349,0.002510,299
27,0.502832,0.001682,299
28,0.752017,0.002515,299
29,0.752686,0.002517,299
30,1.253880,0.004194,299
31,0.250000,0.000836,299
32,0.500000,0.001672,299
33,0.000000,0.000000,299
34,0.501079,0.001676,299
35,1.000578,0.003346,299
36,0.250000,0.000836,299
37,0.502548,0.001681,299
38,0.000000,0.000000,299
39,0.500341,0.001673,299
40,0.250000,0.000836,299
41,0.753292,0.002519,299
42,0.000000,0.000000,299
43,0.750376,0.002510,299
44,0.502158,0.001679,299
45,0.500145,0.001673,299
46,1.004961,0.003361,299
47,0.502686,0.001681,299
48,0.500069,0.001672,299
49,0.250938,0.000839,299
50,0.000000,0.000000,299
51,0.501148,0.001676,299
52,0.502686,0.001681,299
53,1.256712,0.004203,299
54,0.252014,0.000843,299
55,1.004949,0.003361,299
56,1.003551,0.003356,299
57,1.253978,0.004194,299
58,0.251079,0.000840,299
59,0.754700,0.002524,299
60,0.250000,0.000836,299
61,0.251079,0.000840,299
